customer_id,customer_name,failed_reversed_transactions
1,Rahul Sen,1.0
2,Ananya Roy,0.0
3,Sourav Das,0.0
4,Priya Mehta,1.0
5,Vikram Joshi,1.0
6,Meera Iyer,1.0
7,Karan Kapoor,0.0
8,Sneha Patil,0.0
9,Ravi Shankar,2.0
10,Tanvi Sharma,1.0
11,Alok Reddy,0.0
12,Isha Jain,1.0
13,Dev Mishra,0.0
14,Pooja Shah,0.0
15,Aman Verma,1.0
16,Neha Choudhury,0.0
17,Harshita Gupta,0.0
18,Rohan Nair,1.0
19,Simran Kaur,0.0
20,Yash Agrawal,0.0
21,Divya Rao,0.0
22,Arjun Malik,0.0
23,Tanya Paul,1.0
24,Siddharth Pillai,0.0
25,Nikita Deshmukh,0.0
