customer_id,customer_name,transaction_id,amount,transaction_date,card_used,vendor_name,category,status
1,"Rahul Sen",1,2500.00,"2025-06-10 10:45:00",4539876543210001,Spencer’s,Grocery,success
1,"Rahul Sen",31,7200.00,"2025-06-29 18:00:00",4539876543210001,"Air India","Air Travel",failed
1,"Rahul Sen",65,100000.00,"2025-07-13 09:58:04",4539876543210001,Tanishq,Jewellery,success
1,"Rahul Sen",50,40000.00,"2025-07-12 10:00:00",1234567890123451,Flipkart,Electronics,success
1,"Rahul Sen",51,40000.00,"2025-07-12 12:30:00",1234567890123451,Amazon,E-commerce,success
2,"Ananya Roy",2,999.00,"2025-06-12 15:20:00",4539876543210002,MakeMyTrip,Travel,success
2,"Ananya Roy",32,999.00,"2025-06-30 11:15:00",4539876543210002,"Go First","Air Travel",success
3,"Sourav Das",3,78000.00,"2025-06-13 12:30:00",4539876543210003,Flipkart,Electronics,success
3,"Sourav Das",33,2500.00,"2025-06-30 14:10:00",4539876543210003,Domino’s,"Food Delivery",success
3,"Sourav Das",4,2300.00,"2025-06-15 09:00:00",4539876543210033,"Big Bazaar",Grocery,success
3,"Sourav Das",34,14500.00,"2025-06-30 17:25:00",4539876543210033,"Pizza Hut","Food Delivery",success
3,"Sourav Das",54,50000.00,"2025-07-10 14:00:00",1234567890123453,Spencer’s,Grocery,success
3,"Sourav Das",55,30000.00,"2025-07-10 16:00:00",1234567890123453,Flipkart,Electronics,success
4,"Priya Mehta",5,4500.00,"2025-06-16 18:10:00",4539876543210004,Zomato,"Food Delivery",failed
4,"Priya Mehta",35,350.00,"2025-06-30 19:00:00",4539876543210004,Spencer’s,Grocery,success
4,"Priya Mehta",56,35000.00,"2025-07-09 10:30:00",1234567890123454,Amazon,E-commerce,success
4,"Priya Mehta",57,40000.00,"2025-07-09 13:45:00",1234567890123454,"Big Bazaar",Grocery,success
5,"Vikram Joshi",6,22000.00,"2025-06-17 11:25:00",4539876543210005,Ajio,Fashion,success
5,"Vikram Joshi",36,8200.00,"2025-07-01 09:30:00",4539876543210005,MakeMyTrip,Travel,success
5,"Vikram Joshi",7,1450.00,"2025-06-17 14:15:00",4539876543210035,Croma,Electronics,reversed
5,"Vikram Joshi",37,1700.00,"2025-07-01 11:45:00",4539876543210035,Flipkart,Electronics,success
6,"Meera Iyer",8,1200.00,"2025-06-18 16:40:00",4539876543210006,"Reliance Digital",Electronics,success
6,"Meera Iyer",38,990.00,"2025-07-01 13:10:00",4539876543210006,"Big Bazaar",Grocery,reversed
7,"Karan Kapoor",9,3500.00,"2025-06-19 13:55:00",4539876543210007,DMart,Retail,success
7,"Karan Kapoor",39,1100.00,"2025-07-01 16:20:00",4539876543210007,"Reliance Digital",Electronics,success
7,"Karan Kapoor",10,1999.00,"2025-06-20 17:20:00",4539876543210037,Swiggy,"Food Delivery",success
7,"Karan Kapoor",40,5800.00,"2025-07-02 10:00:00",4539876543210037,Myntra,Fashion,success
7,"Karan Kapoor",61,37000.00,"2025-07-06 12:00:00",1234567890123457,Amazon,E-commerce,success
8,"Sneha Patil",11,499.00,"2025-06-20 19:45:00",4539876543210008,Myntra,Fashion,success
8,"Sneha Patil",41,6500.00,"2025-07-02 12:45:00",4539876543210008,Tanishq,Jewellery,success
9,"Ravi Shankar",12,6900.00,"2025-06-21 08:00:00",4539876543210009,Tanishq,Jewellery,failed
9,"Ravi Shankar",42,999.00,"2025-07-02 14:30:00",4539876543210009,Zomato,"Food Delivery",failed
9,"Ravi Shankar",13,3100.00,"2025-06-21 20:10:00",4539876543210039,Amazon,E-commerce,success
9,"Ravi Shankar",43,3300.00,"2025-07-02 17:10:00",4539876543210039,Ajio,Fashion,success
9,"Ravi Shankar",63,100000.00,"2025-07-04 13:00:00",1234567890123459,Myntra,Fashion,success
10,"Tanvi Sharma",14,1500.00,"2025-06-22 10:30:00",4539876543210010,Nykaa,Beauty,reversed
10,"Tanvi Sharma",44,5100.00,"2025-07-03 09:15:00",4539876543210010,Ola,Transport,success
11,"Alok Reddy",15,12500.00,"2025-06-22 13:50:00",4539876543210011,"Tata CLiQ",E-commerce,success
11,"Alok Reddy",45,4000.00,"2025-07-03 11:00:00",4539876543210011,Pepperfry,Furniture,success
12,"Isha Jain",16,899.00,"2025-06-23 15:35:00",4539876543210012,Blinkit,Grocery,success
12,"Isha Jain",46,1250.00,"2025-07-03 13:25:00",4539876543210012,BookMyShow,Entertainment,success
12,"Isha Jain",17,23000.00,"2025-06-24 09:40:00",4539876543210042,Uber,Transport,success
12,"Isha Jain",47,870.00,"2025-07-03 15:50:00",4539876543210042,FabIndia,Clothing,reversed
13,"Dev Mishra",18,2499.00,"2025-06-24 16:00:00",4539876543210013,Cleartrip,Travel,success
13,"Dev Mishra",48,2222.00,"2025-07-03 18:00:00",4539876543210013,Westside,Fashion,success
